numOfTry, no_1, f1, precision, recall, accuracy, no_2, no_3, seed
1, weka.classifiers.lazy.IBk, 0.6397901484504522, 0.6397306397306397, 0.6419753086419753, 64.19753086419753, weka.classifiers.trees.RandomForest, weka.classifiers.functions.MultilayerPerceptron, 42
2, weka.classifiers.trees.RandomForest, 0.6658448369481835, 0.6683906128350572, 0.6666666666666666, 66.66666666666667, weka.classifiers.lazy.LWL, weka.classifiers.bayes.NaiveBayes, 42
3, weka.classifiers.lazy.IBk, 0.6812546552578785, 0.7042997020008513, 0.6790123456790124, 67.90123456790124, weka.classifiers.trees.RandomForest, weka.classifiers.trees.RandomForest, 42
4, weka.classifiers.trees.RandomForest, 0.6334475498594353, 0.664161220043573, 0.6296296296296297, 62.96296296296296, weka.classifiers.trees.RandomForest, weka.classifiers.lazy.IBk, 42
5, weka.classifiers.meta.AttributeSelectedClassifier, 0.6872323856582349, 0.6962962962962964, 0.7037037037037037, 70.37037037037037, weka.classifiers.trees.RandomForest, weka.classifiers.trees.RandomForest, 42
6, weka.classifiers.lazy.IBk, 0.6974990672143753, 0.712366626345121, 0.691358024691358, 69.1358024691358, weka.classifiers.trees.RandomForest, weka.classifiers.lazy.IBk, 42
7, weka.classifiers.trees.RandomForest, 0.631764908713499, 0.6370691037357704, 0.6296296296296297, 62.96296296296296, weka.classifiers.lazy.LWL, weka.classifiers.bayes.NaiveBayes, 42
8, weka.classifiers.meta.Bagging, 0.693034787720778, 0.7010108147363051, 0.691358024691358, 69.1358024691358, weka.classifiers.meta.Bagging, weka.classifiers.meta.Bagging, 42
9, weka.classifiers.trees.RandomForest, 0.725589910775096, 0.7409082208823812, 0.7283950617283951, 72.8395061728395, weka.classifiers.trees.RandomForest, weka.classifiers.trees.J48, 42
10, weka.classifiers.trees.RandomForest, 0.6294476294476294, 0.6301541192608731, 0.6296296296296297, 62.96296296296296, weka.classifiers.meta.Bagging, weka.classifiers.lazy.IBk, 42
11, weka.classifiers.trees.RandomForest, 0.6659914128094382, 0.6695473251028806, 0.6666666666666666, 66.66666666666667, weka.classifiers.trees.RandomForest, weka.classifiers.meta.Bagging, 42
